X,Y,Depth (m)
363398.13948999485,5801037.710347171,5.06
363397.27390364045,5801037.7643906325,5.06
363396.40010975924,5801037.842034239,5.07
363395.5652307984,5801037.946423699,5.05
363394.7223322432,5801038.056600478,5.03
363393.8504556257,5801038.154224957,4.99
363392.980585781,5801038.29965192,4.97
363392.129748472,5801038.516894877,4.92
363391.2789449854,5801038.710764555,4.87
363390.41743110516,5801038.887123669,4.86
363389.54861255595,5801039.045877814,4.83
363388.67592297855,5801039.2125302525,4.79
363387.81341982295,5801039.377787495,4.77
363386.9784679693,5801039.577896362,4.73
363386.10404920677,5801039.706756021,4.72
363385.2460059341,5801039.860760328,4.69
363384.3615829751,5801040.022173929,4.65
363383.5044955298,5801040.210654297,4.63
363382.64806134155,5801040.373518261,4.60
363381.7798010713,5801040.527806418,4.57
363380.9000875556,5801040.662378673,4.54
363380.0179212362,5801040.856006807,4.51
363379.144430624,5801040.9937457945,4.49
363378.2896730079,5801041.11872287,4.45
363377.4186998089,5801041.17514514,4.44
363376.5525140747,5801041.330489691,4.41
363375.66546804784,5801041.421860116,4.39
363374.8288183452,5801041.585289941,4.37
363373.97845894645,5801041.696790129,4.34
363373.1206406373,5801041.785124761,4.33
363372.2396718684,5801041.80064496,4.32
363371.4169368647,5801041.851279031,4.29
363370.6255122308,5801041.826475792,4.28
363369.88588271453,5801041.8258351255,4.28
363369.13037099614,5801041.817844069,4.25
363368.314455897,5801041.794833166,4.24
363367.5028378854,5801041.828465034,4.22
363366.70753655554,5801041.860531677,4.20
363365.8961091543,5801041.851865439,4.19
363365.0842472713,5801041.852115189,4.17
363364.2230625523,5801041.868201272,4.14
363363.36794369394,5801041.906378845,4.12
363362.51523551706,5801041.982330912,4.10
363361.6569548502,5801042.053985726,4.09
363360.78864201927,5801042.132596704,4.04
363359.91435306997,5801042.216938415,4.04
363359.02386804856,5801042.331779699,4.02
363358.16133813234,5801042.471444484,3.99
363357.29887268547,5801042.588848113,3.97
363356.4315803284,5801042.679674308,3.95
363355.5613783939,5801042.7639034735,3.92
363354.67910087097,5801042.85514548,3.92
363353.80580162065,5801042.950590601,3.90
363353.00466758275,5801043.091892851,3.88
363352.22041078197,5801043.202676902,3.86
363351.40619175974,5801043.240835459,3.85
363350.57339949603,5801043.248345827,3.83
363349.74038864777,5801043.27255704,3.81
363350.37314004137,5800997.15888122,5.67
363350.43331994367,5800997.239572768,5.67
363350.4928159541,5800997.344768754,5.67
363350.5455648496,5800997.427892305,5.67
363350.6074462581,5800997.520779413,5.67
363350.66431290144,5800997.604901765,5.66
363350.72121037997,5800997.690136236,5.67
363350.77399010514,5800997.774371911,5.67
363350.82649229595,5800997.848598496,5.66
363350.87298746186,5800997.92744355,5.66
363350.928245096,5800998.002706709,5.66
363350.96873323544,5800998.086170231,5.66
363351.013526886,5800998.152819729,5.66
363351.06119932944,5800998.224954285,5.66
363351.1059004668,5800998.28826742,5.67
