"UTC,""Depth..m."",""mid_latitude"",""mid_longitude"""
151852,8.28,52.34192686,12.99575066
151853,8.28,52.34192527,12.995758635
151854,8.3,52.34192372,12.99576659
151855,8.29,52.34192221,12.995774605
151856,8.3,52.34192075,12.995782685
151857,8.3,52.341919345,12.99579084
151858,8.32,52.341917975,12.995799005
151859,8.31,52.341916635,12.99580707
151900,8.32,52.341915285,12.99581519
151901,8.32,52.341913925,12.995823455
151902,8.28,52.3419126,12.99583169
151903,8.25,52.34191133,12.99583984
151904,8.27,52.341910145,12.99584791
151905,8.31,52.34190907,12.99585611
151906,8.35,52.34190806,12.995864445
151907,8.36,52.341907115,12.99587265
151908,8.37,52.34190621,12.995880765
151909,8.38,52.3419053,12.99588887
151910,8.38,52.34190445,12.99589675
151911,8.38,52.34190368,12.995904505
151912,8.39,52.34190294,12.995912435
151913,8.39,52.341902255,12.99592039
151914,8.39,52.341901595,12.995928245
151915,8.4,52.34190093,12.99593609
151916,8.4,52.34190028,12.99594397
151917,8.41,52.34189959,12.99595183
151918,8.41,52.341898705,12.99595965
151919,8.41,52.341897665,12.995967405
151920,8.43,52.34189655,12.99597496
151921,8.42,52.341895325,12.995982445
151922,8.43,52.34189402,12.995989975
151923,8.4,52.34189274,12.99599755
151924,8.42,52.341891555,12.99600522
151925,8.45,52.341890395,12.996013
151926,8.45,52.34188922,12.99602086
151927,8.45,52.34188805,12.996028745
151928,8.45,52.34188693,12.996036625
151929,8.47,52.341885845,12.996044435
151930,8.48,52.34188479,12.99605207
151931,8.48,52.341883825,12.996059535
151932,8.45,52.34188289,12.996067015
151933,8.41,52.341881875,12.99607461
151934,8.41,52.34188079,12.996082205
151935,8.41,52.34187963,12.99608964
151936,8.45,52.34187832,12.996097
151937,8.49,52.341876965,12.99610443
151938,8.53,52.341875595,12.99611185
151939,8.53,52.34187414,12.99611911
151940,8.53,52.341872625,12.99612628
151941,8.55,52.34187099,12.996133405
151942,8.56,52.341869285,12.99614046
151943,8.56,52.341867575,12.99614734
151944,8.56,52.34186585,12.996154045
151945,8.57,52.34186396,12.99616094
151946,8.57,52.34186195,12.996168125
151947,8.58,52.341859955,12.996175125
151948,8.59,52.34185784,12.99618178
151949,8.59,52.34185557,12.996188385
151950,8.6,52.341853195,12.99619496
151951,8.59,52.34185077,12.99620141
151952,8.61,52.34184825,12.996207715
151953,8.6,52.341845625,12.99621394
151954,8.6,52.34184292,12.99622007
151955,8.62,52.341840145,12.99622611
151956,8.63,52.3418373,12.99623207
