"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
150958,4.34,"52.34263624","12.99436962"
150959,4.33,"52.34263616","12.99435669"
150960,4.32,NA,NA
151001,4.29,"52.34263599","12.99433300"
151002,4.28,"52.34263580","12.99432215"
151003,4.28,"52.34263554","12.99431107"
151004,4.25,"52.34263513","12.99429911"
151005,4.24,"52.34263523","12.99428719"
151006,4.22,"52.34263532","12.99427551"
151007,4.2,"52.34263504","12.99426361"
151008,4.19,"52.34263484","12.99425170"
151009,4.17,"52.34263477","12.99423906"
151010,4.14,"52.34263490","12.99422650"
151011,4.12,"52.34263537","12.99421396"
151012,4.1,"52.34263580","12.99420134"
151013,4.09,"52.34263629","12.99418857"
151014,4.04,"52.34263683","12.99417571"
151015,4.04,"52.34263764","12.99416260"
151016,4.02,"52.34263868","12.99414989"
151017,3.99,"52.34263952","12.99413719"
151018,3.97,"52.34264012","12.99412443"
151019,3.95,"52.34264066","12.99411163"
151020,3.92,"52.34264126","12.99409865"
151021,3.92,"52.34264190","12.99408580"
151022,3.9,"52.34264297","12.99407399"
151023,3.88,"52.34264377","12.99406244"
151024,3.86,"52.34264391","12.99405048"
151025,3.85,"52.34264377","12.99403826"
151026,3.83,"52.34264378","12.99402603"
151027,3.81,"52.34264320","12.99401452"
0,8.75,NA,NA
0,6.48,NA,NA
0,6.61,NA,NA
0,6.74,NA,NA
151401,5.67,"52.34222961","12.99405407"
151402,5.67,"52.34223035","12.99405492"
151403,5.67,"52.34223131","12.99405575"
151404,5.67,"52.34223207","12.99405649"
151405,5.67,"52.34223292","12.99405736"
151406,5.66,"52.34223369","12.99405816"
151407,5.67,"52.34223447","12.99405896"
151408,5.67,"52.34223524","12.99405970"
151409,5.66,"52.34223592","12.99406044"
151410,5.66,"52.34223664","12.99406109"
151411,5.66,"52.34223733","12.99406187"
151412,5.66,"52.34223809","12.99406243"
151413,5.66,"52.34223870","12.99406306"
151414,5.66,"52.34223936","12.99406373"
151415,5.67,"52.34223994","12.99406436"
151416,5.67,"52.34224041","12.99406507"
151417,5.66,"52.34224114","12.99406586"
151418,5.66,"52.34224171","12.99406669"
151419,5.66,"52.34224238","12.99406744"
151420,5.66,"52.34224304","12.99406817"
151421,5.65,"52.34224379","12.99406873"
151422,5.65,"52.34224442","12.99406931"
151423,5.65,"52.34224505","12.99407008"
151424,5.65,"52.34224566","12.99407094"
151425,5.66,"52.34224639","12.99407188"
151426,5.66,"52.34224716","12.99407289"
151427,5.66,"52.34224799","12.99407373"
151428,5.65,"52.34224893","12.99407416"
151429,5.64,"52.34224982","12.99407411"
151430,5.64,"52.34225168","12.99407073"
151431,5.63,"52.34225340","12.99406689"
151432,5.62,"52.34225486","12.99406389"
151433,5.61,"52.34225610","12.99406143"
151434,5.59,"52.34225720","12.99405936"
151435,5.59,"52.34225834","12.99405759"
151436,5.58,"52.34225942","12.99405597"
151437,5.57,"52.34226051","12.99405438"
